2021-03-15 20:41 : 0: 1
2021-03-15 20:42 : 0: 1
2021-03-15 20:43 : 0: 1
2021-03-15 20:44 : 0: 0
2021-03-15 20:45 : 0: 0
2021-03-15 20:46 : 0: 0
2021-03-15 20:47 : 0: 0
2021-03-15 20:48 : 0: 0
2021-03-15 20:49 : 0: 1
2021-03-15 20:50 : 0: 1
2021-03-15 20:51 : 0: 1
2021-03-15 20:52 : 0: 1
2021-03-15 20:53 : 0: 1
2021-03-15 20:54 : 0: 1
2021-03-15 20:55 : 0: 1
2021-03-15 20:56 : 0: 0
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 0
2021-03-15 20:59 : 0: 0
2021-03-15 20:59 : 0: 0
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 1
2021-03-15 20:59 : 0: 1
2021-03-15 21:00 : 0: 1
2021-03-15 21:00 : 0: 1
2021-03-15 21:00 : 0: 1
2021-03-15 21:00 : 0: 1
2021-03-15 21:00 : 0: 0
2021-03-15 21:00 : 0: 0
